0.9
node parent1 parent2 dist pt eta phi m
54 -1 -1 0 0.0626331223428 1.34212412955 2.34578327796 0.13957
259 198 211 0.0307941082086 2.77249584012 1.28715820531 2.18298902419 1.0209890913
198 -1 -1 0 0.418196441753 1.36843385664 2.18148045447 0.13957
211 172 179 0.0078131253273 2.35429995876 1.2721044576 2.1832569927 0.87479946437
172 -1 -1 0 1.58201303022 1.26702547978 2.18777865331 0.13957
179 -1 -1 0 0.772336228265 1.28238557079 2.17399495937 0.49761
381 340 349 0.370902158373 17.9716187696 0.859971423732 -2.70212245489 5.78814713079
340 15 321 0.129937032062 0.691838383335 -0.111816555874 -1.7970850104 0.2199243607
15 -1 -1 0 0.0922753854504 0.222797169483 -1.92810830364 0
321 11 24 0.0957380451552 0.600474948199 -0.162898235205 -1.7770067835 0.183420494918
11 -1 -1 0 0.408613783209 -0.176901441809 -1.69632170031 0.13957
24 -1 -1 0 0.195977471592 -0.130195443804 -1.94585416956 0
349 43 308 0.170809580091 17.5527354354 0.87962120982 -2.73312515996 2.94712382772
43 -1 -1 0 0.262137243846 0.775778524471 -2.07209855712 0.13957
308 269 288 0.0712234704282 17.3465607025 0.878857080445 -2.74240282508 2.28918901127
269 82 93 0.0363759651222 2.22558138359 0.819579396236 -2.93330206255 0.0863888198903
82 -1 -1 0 1.15040792642 0.8041066199 -2.96772201238 0
93 -1 -1 0 1.076583005 0.835062467077 -2.89652079014 0
288 273 279 0.052619285763 15.1672889695 0.885208887211 -2.71455733743 1.7334034478
273 77 264 0.0386530190185 7.42895999042 0.875839656761 -2.65865641558 0.991219706913
77 -1 -1 0 1.58549770587 0.953926625903 -2.61635651087 0.13957
264 78 262 0.0332713735524 5.845265055 0.853666124824 -2.6701268747 0.775316696745
78 -1 -1 0 0.373101926987 0.809916567048 -2.57041070839 0.13957
262 87 88 0.0327127947348 5.47414253631 0.856350636247 -2.6769120385 0.49761
87 -1 -1 0 4.88956164397 0.867208138267 -2.67449417112 0.13957
88 -1 -1 0 0.584714714015 0.762107619268 -2.69713233639 0.13957
279 95 258 0.0443560769439 7.76104052992 0.892056053018 -2.76806402594 0.379971118589
95 -1 -1 0 0.797503093655 0.970849758308 -2.87279329794 0.000511
258 68 94 0.0302481465354 6.96840576406 0.882244060426 -2.75609983889 0.149642497313
68 -1 -1 0 6.94581589689 0.881802285699 -2.75619259134 0.13957
94 -1 -1 0 0.0225990817528 1.01144059013 -2.72758855848 0.000511
392 352 385 0.632510154208 44.2497710299 -0.188713399479 1.50931783824 16.640313691
352 19 23 0.195731414693 0.394279705497 -2.19375923322 -0.0990068923314 0.0610771448262
19 -1 -1 0 0.374898680767 -2.21916127522 -0.0989880735296 0
23 -1 -1 0 0.0193810260801 -1.5171380305 -0.0993709155823 0
385 9 367 0.46291775958 44.2663177308 -0.149757872826 1.51821867556 11.5292873032
9 -1 -1 0 0.215743236788 -1.98584089091 2.22062457855 0.13957
367 64 342 0.294427238398 44.1018633213 -0.133002807467 1.51505820965 9.09103351444
64 -1 -1 0 0.518081534833 -0.432233694964 2.65484372779 0.13957
342 56 313 0.149294142695 43.8879385676 -0.128429421454 1.50433296572 7.17081787353
56 -1 -1 0 2.04043610648 0.190111220382 1.90823314743 0.13957
313 278 303 0.0781717801008 42.0193383537 -0.143306136203 1.48524756909 5.00468648636
278 71 227 0.0435451286682 0.292698856599 0.0022074853582 1.19461148526 0.241100017143
71 -1 -1 0 0.218721499041 0.00433313720183 1.16338207407 0
227 81 178 0.0145473127919 0.0743981255052 -0.0040541806234 1.28653666806 0.142202629739
81 -1 -1 0 0.00429844771583 -0.0505211704113 1.2731189753 0
178 -1 -1 0 0.0701000884428 -0.00120355401403 1.28735939922 0.13957
303 70 291 0.0641388158743 41.7389990391 -0.144277369636 1.48725711263 4.03042666572
70 -1 -1 0 0.759196327618 0.101931618821 1.48124478496 0
291 99 286 0.0555622036281 40.9798166874 -0.148802491048 1.48736849696 3.7442355755
99 -1 -1 0 0.208415922081 -0.384857800573 1.4838067682 0
286 98 274 0.0496184603151 40.7714020941 -0.14756332873 1.48738670382 3.66952493049
98 -1 -1 0 0.357577021511 -0.139771247341 1.69001512694 0
274 204 261 0.0387392423398 40.4212047931 -0.147605473975 1.48560643754 3.57075014347
204 60 89 0.00165863138336 11.0029423158 -0.0688871450101 1.48581376593 0.73832776688
60 -1 -1 0 5.37221936484 -0.0682166776815 1.48415578999 0.49761
89 -1 -1 0 5.63073737954 -0.06952662484 1.48739562094 0.13957
261 232 234 0.0311214948488 29.4182628023 -0.176841213558 1.48552889311 2.25345093072
232 214 231 0.0157002665521 23.1486818028 -0.166069907805 1.46913302954 1.28012656086
214 96 97 0.00890130460065 7.72526120113 -0.182913573776 1.44744732812 0.528654901632
96 -1 -1 0 6.95696249307 -0.185346897512 1.44908083015 0.49761
97 -1 -1 0 0.768392030403 -0.160813225111 1.43265719336 0
231 62 206 0.016838146838 15.4261465667 -0.157587780016 1.47999237599 0.632447991819
62 -1 -1 0 6.26099542642 -0.173829008827 1.49799042218 0.13957
206 69 90 0.00346184381163 9.16685773262 -0.14644182209 1.46770000249 0.389995528444
69 -1 -1 0 1.3957416512 -0.137350484455 1.46650511419 0.13957
90 -1 -1 0 7.77111725677 -0.148073410624 1.46791461191 0.13957
234 61 100 0.0174670801957 6.2841633949 -0.215932504707 1.54595964503 0.617327483251
61 -1 -1 0 4.21344864803 -0.223829951646 1.53302164208 0.49368
100 -1 -1 0 2.0717846665 -0.199720539322 1.57227434022 0
