Jet #1 Particle Count: 35
 452 453 454 455 456 457 636 637 638 640 642 643 644 753 754 755 756 757 758 759 760 761 762 858 859 860 861 862 863 923 924 925 926 927 928
Jet #2 Particle Count: 19
 338 342 593 707 708 710 711 712 713 832 833 892 893 970 971 973 974 990 991
Jet #3 Particle Count: 47
 392 395 396 400 404 406 607 608 609 610 611 613 615 617 620 733 734 735 736 737 738 739 740 742 743 842 843 844 845 846 847 884 885 886 887 913 914 917 918 919 920 921 975 976 977 978 979
Jet #4 Particle Count: 63
 470 471 475 478 483 484 489 491 493 646 647 648 649 650 651 652 653 654 655 772 773 774 775 776 779 780 781 782 783 784 785 787 788 790 929 930 931 932 933 934 935 936 937 938 939 940 941 942 943 945 946 948 949 982 983 985 986 987 996 997 999 1001 1002
Jet #5 Particle Count: 40
 419 421 423 430 431 432 433 435 622 623 624 626 628 629 631 632 634 745 746 747 748 749 750 752 848 849 850 851 852 853 854 855 856 857 888 889 992 993 994 995
nJets: 5
id pT eta phi m
-211 1.27932127558 1.47573732873 -2.0403622023 0.13957
211 0.53572225459 2.79560947266 0.00631434723227 0.13957
-211 0.384519247103 2.72401885169 -1.55052957319 0.13957
211 0.139258290353 4.56295009411 -0.32718531462 0.13957
-211 0.922408269171 3.13302750936 -0.924410300646 0.13957
-211 0.650148666326 4.40389984171 -0.0500905880845 0.13957
321 0.455515858367 3.95585656394 -0.330200740888 0.49368
-211 0.39559242276 2.81202638161 0.277869954199 0.13957
211 0.877042161444 1.06087777525 2.59434764657 0.13957
-211 1.27633935911 0.573738648008 1.46299997983 0.13957
211 0.99345981446 0.294125453315 2.45826708756 0.13957
2112 1.83516847747 0.245153503365 1.65204123317 0.93957
-2212 1.40759563399 0.602982138621 1.91742597067 0.93827
2212 0.875449793203 -0.478039279656 1.66766062265 0.93827
-2112 0.70342988525 -3.09136093372 1.65684683179 0.93957
-211 0.783633180161 -3.0504574816 -1.7087305531 0.13957
321 0.680300365313 -3.79494303175 1.78739184589 0.49368
-211 0.569897538029 -3.41057657632 -0.826373329584 0.13957
-211 0.0651416536114 -8.24417832085 -1.78180174268 0.13957
-211 0.160415765934 -7.9362558347 -2.06877644982 0.13957
211 0.448070862154 -6.4599397368 3.12947745784 0.13957
-211 1.20672344648 -6.57831406204 -1.40344255755 0.13957
321 0.221217540278 -5.07341984525 2.76908474805 0.49368
211 0.124106840035 -1.62771624152 0.971413447187 0.13957
-211 0.35288093202 2.8846821562 1.980879884 0.13957
211 0.819328956099 1.91437267083 -2.09117211727 0.13957
211 0.169237416284 4.65884646618 1.28062092415 0.13957
2212 0.050074876059 10.6496147519 2.16104698277 0.93827
-211 0.501036779583 0.607172094265 -1.70720541614 0.13957
2112 0.228863260302 4.36544292262 0.255010175079 0.93957
