0.9
node parent1 parent2 dist pt eta phi m
223 171 216 0.0127729904774 9.83454910909 1.43598693216 -1.45573500884 0.221005279299
171 -1 -1 0 7.91604212725 1.44334039786 -1.45541725671 0.13957
216 50 202 0.00936111481509 1.91850903039 1.4051242744 -1.45704609985 0.0221165736889
50 -1 -1 0 0.67408673221 1.41294401329 -1.44350855488 0
202 -1 -1 0 1.24451752042 1.4007979203 -1.46437848556 0
246 197 237 0.0234634998143 21.4704005295 1.44580869535 -1.52388876993 0.592041319208
197 -1 -1 0 0.295270777459 1.4497425279 -1.61622385879 0
237 52 217 0.0188191607089 21.176405064 1.44569985098 -1.5226031345 0.539968668714
52 -1 -1 0 9.15086285203 1.46905548508 -1.51418431073 0
217 49 51 0.00992669420549 12.0261132559 1.42755198596 -1.52900912094 0.208481444258
49 -1 -1 0 9.81396389929 1.42803122561 -1.5235075991 0.13957
51 -1 -1 0 2.21295661149 1.42509844853 -1.55340942865 0
265 221 233 0.0334747080397 20.0854845375 1.35498155686 -1.5123247375 0.985974689546
221 40 48 0.0116311571123 16.6838279109 1.35853883098 -1.5292515759 0.533586627889
40 -1 -1 0 0.977255073003 1.36219655626 -1.56765804427 0
48 -1 -1 0 15.7073383234 1.35826816921 -1.52686264631 0.49368
233 41 203 0.0171869437802 3.41573980862 1.33377555418 -1.42955682532 0.0701796315119
41 -1 -1 0 1.37145779856 1.33330422102 -1.45464122232 0
203 -1 -1 0 2.04500279289 1.33378488326 -1.4127352314 0
330 59 292 0.115607036099 1.1987154726 1.4247724801 -2.16017810666 0.396038012174
59 -1 -1 0 0.218609833052 1.22020580134 -2.36962138831 0.13957
292 38 230 0.0559616911562 0.985931215316 1.46046453565 -2.1140608308 0.0688309368053
38 -1 -1 0 0.627027573187 1.50926738787 -2.10407564575 0
230 16 196 0.0168078755066 0.358989500389 1.36951704898 -2.13150200872 0.00744393700824
16 -1 -1 0 0.124451274887 1.39573073202 -2.14213606069 0
196 -1 -1 0 0.234548995633 1.35531791097 -2.12585967629 0
358 117 170 0.224020786083 0.610817151379 2.60712112498 -2.41174424828 0.369488527286
117 -1 -1 0 0.459420376447 2.61775628506 -2.25130871302 0.13957
170 -1 -1 0 0.1735758814 2.43924649675 -2.84830048469 0.13957
380 361 373 0.353390000834 73.5057373888 1.20220737056 -0.760668229418 35.1037231794
361 307 323 0.243885480745 1.74062784446 0.789129768179 0.508924199483 0.855818225059
307 10 176 0.0706293861516 0.561591895716 0.793584680538 0.966118849562 0.285747607066
10 -1 -1 0 0.31039297682 0.861801811157 0.982967813265 0.13957
176 -1 -1 0 0.251297396155 0.704603709307 0.945307133374 0.13957
323 55 180 0.101044232634 1.26131670759 0.743557310044 0.311091673985 0.352074711556
55 -1 -1 0 0.968112858893 0.685033732354 0.353635611906 0.13957
180 -1 -1 0 0.296948367033 0.913073925236 0.171983291292 0.13957
373 116 364 0.333625018148 73.0082709357 1.19639618873 -0.783438368254 31.1061153995
116 -1 -1 0 0.418226619503 2.46982535673 -0.202497753053 0.13957
364 346 347 0.254347119256 72.6590182661 1.18159748494 -0.786597336549 29.6972313625
346 328 332 0.159283269171 65.794454548 1.21988053232 -0.723548871691 20.1209939228
328 25 320 0.106344518722 2.38657765345 0.729179396824 -0.432378551097 0.677677297472
25 -1 -1 0 0.113874966735 0.370459468618 -0.359844948079 0
320 63 294 0.0934885796649 2.27301709158 0.74534219257 -0.436009205302 0.635886433093
63 -1 -1 0 0.175654123321 0.65971827231 -0.152612245055 0.13957
294 147 255 0.0588618268063 2.10494272349 0.75001852575 -0.459345060369 0.334415257748
147 -1 -1 0 0.257465297806 0.656205929342 -0.598102298434 0
255 107 130 0.029419649425 1.85029472642 0.761691693448 -0.440097941161 0.289427310827
107 -1 -1 0 1.06377588194 0.764092365758 -0.469550789656 0.13957
130 -1 -1 0 0.787603459933 0.757557045802 -0.40031273491 0.13957
332 318 325 0.11997305881 63.5120267974 1.23373528929 -0.734336378857 18.0313422032
318 124 284 0.0889479606575 4.03202562266 1.08167639706 -0.369800457184 2.43245086985
124 -1 -1 0 0.836582327809 1.13019120218 -0.167227367545 0.93827
284 149 226 0.0487342944965 3.21695571591 1.06337158167 -0.422144751389 1.20672482356
149 -1 -1 0 2.14998683407 1.0462334296 -0.461757691846 0.93957
226 131 154 0.013577834662 1.07204211983 1.09342803618 -0.342637800806 0.170266066212
131 -1 -1 0 0.734534894226 1.08191198768 -0.343562233146 0.13957
154 -1 -1 0 0.337508222521 1.11812797815 -0.340625914496 0
325 309 312 0.103549220969 59.7622389451 1.23937684291 -0.758392025202 13.0352991585
309 281 300 0.0729045399958 52.2544268621 1.25146551885 -0.719289561102 9.18052702031
281 160 276 0.0454917705668 23.6532657508 1.31458406526 -0.781615138034 3.61635243668
160 -1 -1 0 1.08907853886 1.38426958956 -0.641544941888 0
276 238 263 0.0415512846311 22.5753654758 1.3106830742 -0.788350367278 3.43645909982
238 156 220 0.0188754126988 14.7746116687 1.27738576527 -0.769493632535 2.28407915739
156 -1 -1 0 1.78805678591 1.32430125588 -0.795141168752 0.13957
220 132 159 0.0114918562079 12.9872238884 1.27073148462 -0.765962907314 2.08556103605
132 -1 -1 0 2.59128857948 1.29192739257 -0.748647322383 0.93827
159 -1 -1 0 10.3964205883 1.26534802013 -0.770278582521 0.10566
263 244 247 0.0331785354356 7.80835169645 1.37037446002 -0.824035691055 0.907945352551
244 162 240 0.0227903368446 5.70630036359 1.38612771143 -0.805273855822 0.726700530416
162 -1 -1 0 2.56398307853 1.38081832952 -0.833480732506 0
240 134 161 0.0195978285777 3.14416886738 1.38992129657 -0.782272947107 0.529221697017
134 -1 -1 0 0.371603897337 1.37721362123 -0.727651477636 0
161 -1 -1 0 2.77319338131 1.39141348901 -0.789588571239 0.49368
247 26 213 0.0238376365492 2.10577862735 1.32494163696 -0.87489600137 0.0468934676614
26 -1 -1 0 0.146306802409 1.24889182177 -0.88649825888 0
213 126 163 0.00869241015453 1.95948240742 1.33042020022 -0.874029726011 0.0152210471476
126 -1 -1 0 0.14235612775 1.30847863178 -0.891056554221 0
163 -1 -1 0 1.81714853104 1.33211096568 -0.872695901675 0
300 152 287 0.0622623814915 28.6849443084 1.19414766684 -0.667907287228 4.47232769871
